sample_index,filename,tags,branch_tags,paper_use,baseline_teds,phase5e_teds,delta_full_vs_baseline,horizontal_teds,vertical_teds,complexity_score,header_rows,row_count,max_width,span_tokens,rowspan_tokens,colspan_tokens,max_rowspan,max_colspan,span_area,gt_len,copied_image,image_path
45,PMC4262998_003_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;hierarchical_span_header;tall_table;wide_table,dual_branch_complementary;full_mamba_strong_gain_vs_single_axis,multi-level header with span;vertical branch / rowspan evidence;long-range relation evidence;axis ablation evidence,0.08648648648648649,0.6816976127320955,0.595211126245609,0.32266666666666666,0.32266666666666666,615.8,2,32,8,92,92,0,3,1,197,495,images/00045_PMC4262998_003_00.png,train_data/table/pubtabnet/val/PMC4262998_003_00.png
652,PMC4826503_002_00.png,row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,0.0,0.0,530.6,1,39,7,77,72,5,2,7,179,484,images/00652_PMC4826503_002_00.png,train_data/table/pubtabnet/val/PMC4826503_002_00.png
509,PMC4172985_006_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.920863309352518,0.8201438848920863,-0.1007194244604317,0.8201438848920863,0.8201438848920863,404.0,1,31,6,58,58,0,2,1,116,368,images/00509_PMC4172985_006_00.png,train_data/table/pubtabnet/val/PMC4172985_006_00.png
4037,PMC5479978_002_00.png,multi_level_header;row_col_span;long_range_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;long-range relation evidence,0.0,0.0,0.0,,,389.5,2,29,9,53,0,53,1,9,145,390,images/04037_PMC5479978_002_00.png,train_data/table/pubtabnet/val/PMC5479978_002_00.png
2014,PMC4806432_014_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,,,358.1,1,43,7,48,7,41,3,7,179,404,images/02014_PMC4806432_014_00.png,train_data/table/pubtabnet/val/PMC4806432_014_00.png
1042,PMC4848952_008_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.9398148148148148,0.9398148148148148,0.0,,,343.8,1,33,4,48,48,0,2,1,96,298,images/01042_PMC4848952_008_00.png,train_data/table/pubtabnet/val/PMC4848952_008_00.png
1373,PMC5618586_005_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,,,339.40000000000003,1,19,7,48,48,0,4,1,108,259,images/01373_PMC5618586_005_00.png,train_data/table/pubtabnet/val/PMC5618586_005_00.png
1106,PMC4710828_004_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,,,304.3,2,55,6,38,24,14,6,6,156,440,images/01106_PMC4710828_004_00.png,train_data/table/pubtabnet/val/PMC4710828_004_00.png
1660,PMC6025140_005_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.18587360594795543,0.8252788104089219,0.6394052044609665,,,295.1,1,37,7,38,36,2,6,2,144,345,images/01660_PMC6025140_005_00.png,train_data/table/pubtabnet/val/PMC6025140_005_00.png
2435,PMC4431033_002_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table,,vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,,,295.0,1,21,6,41,41,0,2,1,82,254,images/02435_PMC4431033_002_00.png,train_data/table/pubtabnet/val/PMC4431033_002_00.png
3434,PMC5328336_008_01.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,1.0,0.0,-1.0,,,283.5,2,18,8,38,37,1,2,3,77,259,images/03434_PMC5328336_008_01.png,train_data/table/pubtabnet/val/PMC5328336_008_01.png
1705,PMC4354994_004_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.26241134751773054,0.3262411347517731,0.06382978723404253,,,280.2,2,29,13,34,31,3,8,3,88,487,images/01705_PMC4354994_004_00.png,train_data/table/pubtabnet/val/PMC4354994_004_00.png
4868,PMC5480156_008_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,1.0,1.0,0.0,,,277.2,2,26,10,35,32,3,4,4,132,324,images/04868_PMC5480156_008_00.png,train_data/table/pubtabnet/val/PMC5480156_008_00.png
4224,PMC4754933_005_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table;wide_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,,,273.6,2,22,9,34,24,10,3,9,114,268,images/04224_PMC4754933_005_00.png,train_data/table/pubtabnet/val/PMC4754933_005_00.png
638,PMC5628452_005_00.png,row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;tall_table,,horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,0.0,0.0,263.6,1,36,7,31,29,2,8,7,150,302,images/00638_PMC5628452_005_00.png,train_data/table/pubtabnet/val/PMC5628452_005_00.png
4274,PMC3430581_007_00.png,multi_level_header;row_col_span;long_range_dependency;vertical_dependency;horizontal_dependency;hierarchical_span_header;tall_table,,multi-level header with span;horizontal branch / colspan evidence;vertical branch / rowspan evidence;long-range relation evidence,0.003831417624521105,0.003831417624521105,0.0,,,249.7,2,33,7,28,3,25,9,7,90,323,images/04274_PMC3430581_007_00.png,train_data/table/pubtabnet/val/PMC3430581_007_00.png
3235,PMC4618358_004_00.png,row_col_span;long_range_dependency;vertical_dependency;tall_table;wide_table,,vertical branch / rowspan evidence;long-range relation evidence,0.0,0.0,0.0,,,248.6,1,22,9,32,32,0,5,1,92,282,images/03235_PMC4618358_004_00.png,train_data/table/pubtabnet/val/PMC4618358_004_00.png
